state_abbr,state,Teams Count,MLB,NBA,NFL,NHL
AK,Alaska,0,0,0,0,0
AL,Alabama,0,0,0,0,0
AR,Arkansas,0,0,0,0,0
AZ,Arizona,4,1,1,1,1
CA,California,15,5,4,3,3
CO,Colorado,4,1,1,1,1
CT,Connecticut,0,0,0,0,0
DC,District of Columbia,3,1,1,0,1
DE,Delaware,0,0,0,0,0
FL,Florida,9,2,2,3,2
GA,Georgia,3,1,1,1,0
HI,Hawaii,0,0,0,0,0
IA,Iowa,0,0,0,0,0
ID,Idaho,0,0,0,0,0
IL,Illinois,5,2,1,1,1
IN,Indiana,2,0,1,1,0
KS,Kansas,0,0,0,0,0
KY,Kentucky,0,0,0,0,0
LA,Louisiana,2,0,1,1,0
MA,Massachusetts,4,1,1,1,1
MD,Maryland,3,1,0,2,0
ME,Maine,0,0,0,0,0
MI,Michigan,4,1,1,1,1
MN,Minnesota,4,1,1,1,1
MO,Missouri,4,2,0,1,1
MS,Mississippi,0,0,0,0,0
MT,Montana,0,0,0,0,0
NC,North Carolina,3,0,1,1,1
ND,North Dakota,0,0,0,0,0
NE,Nebraska,0,0,0,0,0
NH,New Hampshire,0,0,0,0,0
NJ,New Jersey,3,0,0,2,1
NM,New Mexico,0,0,0,0,0
NV,Nevada,2,0,0,1,1
NY,New York,8,2,2,1,3
OH,Ohio,6,2,1,2,1
OK,Oklahoma,1,0,1,0,0
OR,Oregon,1,0,1,0,0
PA,Pennsylvania,7,2,1,2,2
RI,Rhode Island,0,0,0,0,0
SC,South Carolina,0,0,0,0,0
SD,South Dakota,0,0,0,0,0
TN,Tennessee,3,0,1,1,1
TX,Texas,8,2,3,2,1
UT,Utah,1,0,1,0,0
VA,Virginia,0,0,0,0,0
VT,Vermont,0,0,0,0,0
WA,Washington,3,1,0,1,1
WI,Wisconsin,3,1,1,1,0
WV,West Virginia,0,0,0,0,0
WY,Wyoming,0,0,0,0,0
